URL,Title,Publication Date
https://nos.nl/collectie/9592/artikel/2135785-een-jaar-na-de-balkanroute-de-11-jarige-heva-wacht-af-in-athene,een jaar na de Balkanroute   de 11 - jarige Heva wacht af in Athene,03/10/2016
https://nos.nl/collectie/9592/artikel/2136184-een-jaar-na-de-balkanroute-onzekerheid-voor-algerijnse-dib-in-duitsland,een jaar na de Balkanroute   onzekerheid voor Algerijnse Dib in Duitsland,05/10/2016
https://nos.nl/artikel/2130694-dijkhoff-onderzoekt-opvang-van-750-vluchtelingenkinderen,Dijkhoff onderzoekt opvang van 750 vluchtelingenkinderen,08/09/2016
https://nos.nl/artikel/2130174-wet-voor-kinderen-die-langer-dan-vijf-jaar-in-nederland-wonen,  wet voor kinderen die langer dan vijf jaar in Nederland wonen,06/09/2016
https://nos.nl/artikel/2196396-winstbelasting-bedrijven-gaat-omlaag-3-miljard-minder-belasting.html,"winstbelaste bedrijven gaat omlaag , 3 miljard minder belasting",05/10/2017
https://nos.nl/artikel/2159525-honderd-bedrijven-willen-naar-nederland-door-brexit,  Honderd bedrijven willen naar Nederland door brexit,22/02/2017
https://nos.nl/artikel/2151502-ook-dijsselbloem-nu-voor-hogere-winstbelasting-bedrijven,Ook Dijsselbloem nu voor hogere winstbelaste bedrijven,05/01/2017
https://nos.nl/artikel/2149445-asscher-wil-verkiezingsprogramma-pvda-aanscherpen,asscher wil verkiezingsprogramma PvdA aanscherpen,21/12/2016
https://nos.nl/artikel/2139450-pvda-wil-flexibele-aow-en-anoniem-solliciteren-bij-overheid,PvdA wil flexibele AOW en anoniem solliciteren bij overheid,24/10/2016
https://nos.nl/artikel/2139350-pvda-verdubbeling-bankenbelasting-en-aanpak-leegpompende-bedrijven,PvdA   verdubbele bankenbelaste en aanpak   leegpompende   bedrijven,24/10/2016
https://nos.nl/artikel/2193950-eigen-risico-toch-niet-omhoog-blijft-op-385-euro.html,"Eigen risico toch niet omhoog , blijft op 385 euro",20/09/2017
https://nos.nl/collectie/13586/artikel/2193751-troonrede-meer-mensen-moeten-profiteren-van-economische-voorspoed,troonrede   meer mensen moeten profiteren van economische voorspoe,19/09/2017
https://nos.nl/artikel/2190883-asscher-niemand-gaat-er-volgend-jaar-op-achteruit.html,asscher   niemand gaat er volgend jaar op achteruit,01/09/2017
https://nos.nl/artikel/2188291-nederlandse-economie-groeit-uitzonderlijk-sterk.html,Nederlandse economie groeit uitzonderlijk sterk,16/08/2017
https://nos.nl/artikel/2188290-fors-hogere-economische-groei-verwacht-3-3-procent,"for hogere economische groei verwacht   3,3 procent",16/08/2017
https://nos.nl/artikel/2188291-nederlandse-economie-groeit-uitzonderlijk-sterk,Nederlandse economie groeit uitzonderlijk sterk,16/08/2017
https://nos.nl/artikel/2188272-waarom-de-nederlandse-economie-maar-doorgroeit,Waarom de Nederlandse economie maar doorgroeit,16/08/2017
https://nos.nl/artikel/2178146-cpb-verwacht-nog-meer-economische-groei-lonen-blijven-achter,"CPB   verwacht nog meer economische groei , lonen blijven achter",14/06/2017
https://nos.nl/artikel/2177847-dnb-de-hoogste-economische-groei-in-jaren-nu-de-lonen-nog,"DNB   de hoogste economische groei in jaren , nu de lonen nog",12/06/2017
https://nos.nl/artikel/2178223-het-gaat-goed-met-de-economie-dus-waarom-stijgt-mijn-loon-niet,"het gaat goed meet de economie , dus waarom stijgt mijn loon niet ?",14/06/2017
https://nos.nl/artikel/2173410-grootste-groei-van-de-economie-sinds-2008,Grootste groei van de economie sind 2008,16/05/2017
https://nos.nl/artikel/2172386-po-raad-laat-kamer-uitgaven-basisscholen-onderzoeken,PO - Raad   laat Kamer uitgaven basisscholen onderzoeken,10/05/2017
https://nos.nl/artikel/2101863-dnb-bedrijven-kunnen-hogere-lonen-betalen.html,DNB   bedrijven kunnen hogere lonen betalen,28/04/2016
https://nos.nl/artikel/2177847-dnb-de-hoogste-economische-groei-in-jaren-nu-de-lonen-nog.html,"DNB   de hoogste economische groei in jaren , nu de lonen nog",12/06/2017
https://nos.nl/artikel/2101863-dnb-bedrijven-kunnen-hogere-lonen-betalen,DNB   bedrijven kunnen hogere lonen betalen,28/04/2016
https://nos.nl/artikel/2193931-kamer-wil-vandaag-brief-van-informateur-over-eigen-risico.html,Kamer wil vandaag brief van informateur over eigen risico,20/09/2017
https://nos.nl/artikel/2193968-oppositie-wil-cda-en-cu-aan-belofte-eigen-risico-zorg-houden,Oppositie wil CDA en CU aan belofte eigen risico zorg houden,20/09/2017
