Date,EnergyPrice
16/06/2018,44.07
17/06/2018,36.29
18/06/2018,51.64
19/06/2018,53.8
20/06/2018,51.18
21/06/2018,48.07
22/06/2018,46.31
23/06/2018,44.47
24/06/2018,42.24
25/06/2018,53.8
26/06/2018,52.58
27/06/2018,53.33
28/06/2018,50.6
29/06/2018,51.06
30/06/2018,46.51
1/07/2018,38.26
3/07/2018,58.47
4/07/2018,60.88
5/07/2018,57.18
7/07/2018,50.67
9/07/2018,53.41
10/07/2018,52.95
11/07/2018,52.7
12/07/2018,53.31
13/07/2018,52.58
14/07/2018,50.27
15/07/2018,47.03
16/07/2018,54.08
17/07/2018,52.14
18/07/2018,53.16
19/07/2018,51.81
20/07/2018,53.54
21/07/2018,51.17
22/07/2018,48.05
23/07/2018,55.17
24/07/2018,58.27
25/07/2018,60.22
26/07/2018,65.26
27/07/2018,61.85
29/07/2018,44.87
30/07/2018,55.19
31/07/2018,56.33
1/08/2018,56.32
2/08/2018,59.57
3/08/2018,63.73
4/08/2018,51.7
5/08/2018,51.55
6/08/2018,63.24
7/08/2018,65.5
8/08/2018,56.55
9/08/2018,55.33
10/08/2018,49.81
11/08/2018,48.63
12/08/2018,45.68
13/08/2018,55.99
14/08/2018,55.52
15/08/2018,54.07
16/08/2018,56.62
17/08/2018,57.97
18/08/2018,54.69
19/08/2018,50.28
20/08/2018,64.67
21/08/2018,69.83
22/08/2018,69.33
23/08/2018,62.45
24/08/2018,57.85
25/08/2018,58.65
26/08/2018,53.66
27/08/2018,53.28
28/08/2018,66.93
